# Octopus per-turn geometric emittance, aspect=1.0 xi=0.005
turn	ex	ey
2080	2.0435713941608818e-8	2.0434073666273373e-8
2088	2.043612107071462e-8	2.043321833181578e-8
2096	2.0435725252344688e-8	2.0433838333263188e-8
2104	2.0434708108961624e-8	2.0434088613807297e-8
2112	2.0434029800351488e-8	2.043503218786067e-8
2120	2.043420458128299e-8	2.0434484916427182e-8
2128	2.0434658976932283e-8	2.0433998158479384e-8
2136	2.0435110505739616e-8	2.0433780127586524e-8
2144	2.0435321409282013e-8	2.0433901103170275e-8
2152	2.04349427627901e-8	2.0434853821091038e-8
2160	2.0434424208704156e-8	2.0434234020185743e-8
2168	2.0434162037555937e-8	2.0434424309890103e-8
2176	2.0433934860255206e-8	2.0434327933743926e-8
2184	2.043370896410201e-8	2.0433790064448787e-8
2192	2.0433834208534538e-8	2.043428255887261e-8
2200	2.0434253293728782e-8	2.043443617978729e-8
2208	2.0434718550169234e-8	2.043422741086702e-8
2216	2.043466297663145e-8	2.043385901682405e-8
2224	2.04340988827061e-8	2.0434108194526838e-8
2232	2.043338617434985e-8	2.0435238640961505e-8
2240	2.0433338841863118e-8	2.0434573983610403e-8
2248	2.043431508382988e-8	2.043458333858157e-8
2256	2.0435756357931417e-8	2.043375589085302e-8
2264	2.0436309007067078e-8	2.0432920690542693e-8
2272	2.0435584693298987e-8	2.043417025404795e-8
2280	2.043408401618663e-8	2.0435489143457726e-8
2288	2.043322329358405e-8	2.0436225072816114e-8
2296	2.0434052026674698e-8	2.0434620866608817e-8
2304	2.0435992472509428e-8	2.0433965885372238e-8
2312	2.043730768772632e-8	2.0432096908072823e-8
2320	2.0436760799766347e-8	2.043324251164507e-8
2328	2.043477640697791e-8	2.0436048363274263e-8
2336	2.043329435990147e-8	2.0436858916545097e-8
2344	2.043381124279859e-8	2.043632534741227e-8
2352	2.0436132560954568e-8	2.043383827111e-8
2360	2.04381698381846e-8	2.0432164513017006e-8
2368	2.0438068162377777e-8	2.0431888903330256e-8
2376	2.0435752415395478e-8	2.04351771548473e-8
2384	2.0433405880243854e-8	2.043744469156766e-8
2392	2.0433434496586884e-8	2.04370634785303e-8
2400	2.0435818285178636e-8	2.0434783620031285e-8
2408	2.043841299523634e-8	2.043229139296736e-8
2416	2.0438660232286877e-8	2.043178208504314e-8
2424	2.043614869620538e-8	2.0433321895000607e-8
2432	2.043293428382556e-8	2.0437509666752125e-8
2440	2.043197844458275e-8	2.0437770699138027e-8
2448	2.043390013720232e-8	2.0435839847560242e-8
2456	2.0437109278813836e-8	2.0432049746949522e-8
2464	2.043840139379375e-8	2.043209362682845e-8
2472	2.043619040283025e-8	2.043324456936627e-8
2480	2.043255395576267e-8	2.0436485353196e-8
2488	2.0430952023502677e-8	2.043860477457256e-8
2496	2.0432539844877662e-8	2.043673589912951e-8
2504	2.0435847754189185e-8	2.0433418310885274e-8
2512	2.0437985857857568e-8	2.0430694876850996e-8
2520	2.0436879146017724e-8	2.0433254601491354e-8
2528	2.0433396379371693e-8	2.04364022898819e-8
2536	2.04310449857485e-8	2.0438274361058258e-8
2544	2.043196139504941e-8	2.0437898807459556e-8
2552	2.0435234973116345e-8	2.0434007648592118e-8
2560	2.0437560153362233e-8	2.0432258381624673e-8
2568	2.043676782914092e-8	2.0431457929472715e-8
2576	2.043375950901962e-8	2.043578356796513e-8
2584	2.0431200893828057e-8	2.043816197582146e-8
2592	2.043147312889473e-8	2.0437972009453363e-8
2600	2.0434422514373948e-8	2.043571999740128e-8
2608	2.0437306134578313e-8	2.043220074851512e-8
2616	2.0436996518098292e-8	2.0433263800322448e-8
2624	2.0434027565440134e-8	2.043387123312233e-8
2632	2.0431298179039844e-8	2.0437408863486632e-8
2640	2.043097414720735e-8	2.0438047760861472e-8
2648	2.0433328683501005e-8	2.0436535462788822e-8
2656	2.0436472564565346e-8	2.0433609960725598e-8
2664	2.043743354469656e-8	2.043295783669703e-8
2672	2.043553714525318e-8	2.043537891083834e-8
2680	2.0433206049025954e-8	2.0435664882160483e-8
2688	2.0432708321191345e-8	2.043772122512834e-8
2696	2.0434458466912427e-8	2.0436793629016172e-8
2704	2.0437144043810876e-8	2.0435433593102263e-8
2712	2.0438550565684426e-8	2.0433783221533348e-8
2720	2.0437656948890655e-8	2.0435579617569396e-8
2728	2.0435573533528128e-8	2.0436471320519143e-8
2736	2.0434607589044547e-8	2.043677666213907e-8
2744	2.0435234186115998e-8	2.0436211473644697e-8
2752	2.0436881944689558e-8	2.0435980337559824e-8
2760	2.0438226274557038e-8	2.0435554119655185e-8
2768	2.043781954634525e-8	2.043508372757577e-8
2776	2.043635250718926e-8	2.0436376836187914e-8
2784	2.0435661430918403e-8	2.0437375451831147e-8
2792	2.0435911932077434e-8	2.043589888051617e-8
2800	2.043639993279788e-8	2.0435449424527012e-8
2808	2.0436936427882153e-8	2.043632991588234e-8
2816	2.0436942068369956e-8	2.0435944031211024e-8
2824	2.0435992096549993e-8	2.043600312141804e-8
2832	2.043545559856364e-8	2.0436049781950252e-8
2840	2.0435972272629852e-8	2.0436618552448825e-8
2848	2.043646695493552e-8	2.0434877805536603e-8
2856	2.0436400095218084e-8	2.043657105352697e-8
2864	2.0436052999338258e-8	2.0436809430583265e-8
2872	2.0435660541563706e-8	2.043647842834043e-8
2880	2.0435497915405083e-8	2.043570298686009e-8
2888	2.0435870034178375e-8	2.0435248667517066e-8
