turn	ele_ex	ele_ey	pro_ex	pro_ey
4176	2.26642500e-08	1.68049600e-09	1.13771400e-08	1.01103100e-09
4192	2.26855400e-08	1.67731500e-09	1.13761600e-08	1.01112000e-09
4208	2.26885700e-08	1.67626900e-09	1.13780900e-08	1.01076500e-09
4224	2.26299300e-08	1.67510900e-09	1.13774900e-08	1.01115800e-09
4240	2.26322100e-08	1.67640800e-09	1.13790000e-08	1.01110200e-09
4256	2.25950900e-08	1.67600900e-09	1.13767000e-08	1.01090900e-09
4272	2.26051800e-08	1.67697800e-09	1.13764100e-08	1.01110400e-09
4288	2.25474100e-08	1.67328200e-09	1.13766700e-08	1.01126300e-09
4304	2.25501200e-08	1.67185600e-09	1.13780000e-08	1.01131700e-09
4320	2.25988900e-08	1.67016200e-09	1.13814800e-08	1.01120900e-09
4336	2.26008400e-08	1.66740300e-09	1.13799800e-08	1.01091400e-09
4352	2.25756700e-08	1.67402700e-09	1.13773200e-08	1.01150200e-09
4368	2.26362500e-08	1.67246300e-09	1.13753200e-08	1.01101100e-09
4384	2.26649300e-08	1.67126300e-09	1.13734600e-08	1.01114500e-09
4400	2.26169500e-08	1.67211200e-09	1.13799600e-08	1.01168000e-09
4416	2.26021000e-08	1.67204200e-09	1.13802100e-08	1.01156000e-09
4432	2.25889200e-08	1.67061800e-09	1.13753900e-08	1.01137400e-09
4448	2.25745200e-08	1.66867000e-09	1.13744600e-08	1.01113500e-09
4464	2.25841600e-08	1.66893100e-09	1.13766900e-08	1.01158600e-09
4480	2.26081200e-08	1.66884500e-09	1.13796600e-08	1.01122900e-09
4496	2.26169000e-08	1.66730300e-09	1.13794600e-08	1.01124300e-09
4512	2.25962500e-08	1.66943100e-09	1.13795700e-08	1.01178100e-09
4528	2.26076700e-08	1.67152100e-09	1.13788900e-08	1.01097600e-09
4544	2.26199700e-08	1.67396900e-09	1.13785200e-08	1.01149100e-09
4560	2.26290500e-08	1.67155900e-09	1.13779400e-08	1.01160000e-09
4576	2.26380600e-08	1.67308500e-09	1.13803200e-08	1.01141800e-09
4592	2.26359400e-08	1.67572600e-09	1.13817500e-08	1.01164000e-09
4608	2.26098500e-08	1.67180400e-09	1.13789800e-08	1.01137700e-09
4624	2.26118900e-08	1.67670500e-09	1.13775100e-08	1.01113800e-09
4640	2.26142700e-08	1.67780400e-09	1.13784500e-08	1.01143800e-09
4656	2.26120300e-08	1.67848000e-09	1.13814500e-08	1.01137800e-09
4672	2.26103500e-08	1.67579200e-09	1.13803000e-08	1.01161200e-09
4688	2.26145100e-08	1.67654700e-09	1.13757000e-08	1.01149600e-09
4704	2.26150500e-08	1.67596800e-09	1.13743600e-08	1.01184100e-09
4720	2.26606500e-08	1.67792000e-09	1.13782800e-08	1.01157400e-09
4736	2.26506800e-08	1.67656200e-09	1.13870500e-08	1.01165300e-09
4752	2.26127300e-08	1.67508000e-09	1.13849500e-08	1.01134700e-09
4768	2.26096500e-08	1.67691800e-09	1.13782700e-08	1.01195200e-09
4784	2.26589000e-08	1.67410400e-09	1.13782900e-08	1.01119600e-09
4800	2.25910600e-08	1.67206100e-09	1.13816100e-08	1.01172600e-09
4816	2.25666100e-08	1.66693100e-09	1.13831600e-08	1.01185300e-09
4832	2.26103300e-08	1.66725800e-09	1.13819900e-08	1.01138300e-09
4848	2.25823500e-08	1.66446800e-09	1.13808000e-08	1.01204600e-09
4864	2.26269000e-08	1.66510700e-09	1.13804600e-08	1.01139600e-09
4880	2.26178100e-08	1.66715100e-09	1.13789200e-08	1.01155400e-09
4896	2.26221900e-08	1.67090300e-09	1.13787100e-08	1.01174800e-09
4912	2.26429100e-08	1.66870200e-09	1.13814300e-08	1.01174300e-09
4928	2.26270400e-08	1.66911500e-09	1.13859300e-08	1.01166700e-09
4944	2.26544700e-08	1.67214600e-09	1.13836800e-08	1.01131300e-09
4960	2.26404200e-08	1.67167200e-09	1.13811700e-08	1.01134900e-09
4976	2.26145000e-08	1.67241900e-09	1.13824600e-08	1.01191200e-09
4992	2.26159900e-08	1.67170600e-09	1.13846600e-08	1.01133500e-09
5008	2.26182000e-08	1.67012500e-09	1.13817300e-08	1.01163800e-09
5024	2.26387100e-08	1.67377700e-09	1.13800100e-08	1.01142500e-09
5040	2.26205200e-08	1.67487100e-09	1.13793500e-08	1.01184000e-09
5056	2.26016900e-08	1.67235600e-09	1.13818500e-08	1.01180900e-09
5072	2.26337400e-08	1.67465400e-09	1.13795900e-08	1.01164500e-09
5088	2.25909000e-08	1.67340400e-09	1.13780700e-08	1.01149700e-09
5104	2.26107900e-08	1.67877900e-09	1.13804800e-08	1.01202000e-09
5120	2.26107500e-08	1.68024600e-09	1.13847800e-08	1.01169500e-09
5136	2.26384600e-08	1.67784000e-09	1.13841700e-08	1.01198100e-09
5152	2.26395500e-08	1.67919600e-09	1.13823200e-08	1.01147900e-09
5168	2.26761300e-08	1.67842900e-09	1.13800600e-08	1.01185400e-09
5184	2.26547900e-08	1.67773600e-09	1.13828000e-08	1.01169300e-09
5200	2.26218600e-08	1.67558800e-09	1.13837400e-08	1.01176600e-09
5216	2.26705800e-08	1.67673800e-09	1.13847900e-08	1.01167000e-09
5232	2.26412800e-08	1.67785700e-09	1.13830400e-08	1.01203900e-09
5248	2.26246000e-08	1.67759600e-09	1.13781100e-08	1.01184600e-09
